vin;is_owner;is_promo;region;city;brand;model;year;mileage;count_owners;air_condition;color;price;en_capacity;en_type;en_power;num_cylinders;fuel_waste_mix;body_type;modification;num_doors;gearbox_type;wheel_drive;steering_wheel;link;ad_date;avito_id;model_uid
;True;;Владимирская область;Владимир;ВАЗ (LADA);Granta;2014;57770;3;False;Синий;440000;1596;Бензин;82;4.0;7.4;Седан;1.6 MT (82 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_granta_1.6_mt_2014_57770km_3145463133;2023-08-13;3145463133;0QPyxtx
;True;;Владимирская область;Александровский р-н;ВАЗ (LADA);2109;1991;145000;2;False;Белый;200000;1289;Бензин;64;4.0;6.2;Хетчбэк;1.3 MT (64 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/aleksandrov/avtomobili/vaz_lada_2109_1.3_mt_1991_145000km_3270866001;2023-08-13;3270866001;EXy5PHk
;True;;Владимирская область;Ковров;ВАЗ (LADA);2115 Samara;2006;230000;4+;False;Чёрный;140000;1499;Бензин;76;4.0;;Седан;1.5 MT (76 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_2115_samara_1.5_mt_2006_230000km_3166892173;2023-08-13;3166892173;3EvvVFx
;False;;Владимирская область;Владимир;ВАЗ (LADA);Priora;2009;156500;4+;False;Чёрный;310000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_priora_1.6_mt_2009_156500km_3265563127;2023-08-13;3265563127;o2drKfx
;False;;Владимирская область;Владимир;УАЗ;Patriot;2023;134000;1;False;Белый;995000;2693;Бензин;135;4.0;;Внедорожник;2.7 MT (135 л.с.);5;Механика;Полный;Левый;https://www.avito.ru/vladimir/avtomobili/uaz_patriot_2.7_mt_2017_134000km_3184415971;2023-08-07;3184415971;5ZdnrHx
;False;;Владимирская область;Владимир;ВАЗ (LADA);Vesta;2021;10000;1;True;Белый;1340000;1596;Бензин;106;4.0;7.5;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_vesta_1.6_mt_2021_10000km_3213499258;2023-08-13;3213499258;R4wdjCE
;True;;Владимирская область;Владимир;ВАЗ (LADA);Priora;2023;226257;4+;False;Серый;550000;1596;Бензин;98;4.0;7.2;Хетчбэк;1.6 MT (98 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_priora_1.6_mt_2014_226257km_3166825685;2023-08-10;3166825685;3BQ9Ofx
;False;;Владимирская область;Муром;ВАЗ (LADA);Kalina;2009;105000;3;True;Серый;299000;1596;Бензин;81;4.0;7.8;Седан;1.6 MT (81 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/murom/avtomobili/vaz_lada_kalina_1.4_mt_2009_105000km_3300332630;2023-08-12;3300332630;GdQplTQ
;True;;Владимирская область;Киржачский р-н;ВАЗ (LADA);Priora;2023;165000;1;False;Белый;500000;1596;Бензин;106;4.0;6.8;Седан;1.6 MT (106 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/kirzhach/avtomobili/vaz_lada_priora_2011_1804344007;2023-08-11;1804344007;bO20XiB
;True;;Владимирская область;Суздальский р-н;ВАЗ (LADA);Kalina;2009;98065;3;False;Серебряный;190000;1596;Бензин;82;4.0;7.8;Седан;1.6 MT (82 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/suzdal/avtomobili/vaz_lada_kalina_1.6_mt_2009_98065km_3001978548;2023-08-12;3001978548;5Z98Jtx
;True;;Владимирская область;Гусь-Хрустальный;ВАЗ (LADA);Granta;2023;230000;3;False;Серебряный;350000;1596;Бензин;87;4.0;6.6;Седан;1.6 MT (87 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/gus-hrustalnyy/avtomobili/vaz_lada_granta_1.6_mt_2013_230000km_3167308607;2023-08-10;3167308607;806WZuY
;True;;Владимирская область;Владимир;УАЗ;Patriot;2023;49000;1;True;Коричневый;2199000;2693;Бензин;150;4.0;0.0;Внедорожник;2.7 AT (150 л.с.);5;Автомат;Полный;Левый;https://www.avito.ru/vladimir/avtomobili/uaz_patriot_2.7_at_2021_49000km_2779266263;2023-08-10;2779266263;PQ2WXUl
;True;;Владимирская область;Гороховецкий р-н;ВАЗ (LADA);2107;2023;95000;3;False;Красный;250000;1569;Бензин;54;4.0;8.5;Седан;1.6 MT (54 л.с.);4;Механика;Задний;Левый;https://www.avito.ru/vyazniki/avtomobili/vaz_lada_2107_1.6_mt_2007_95000km_3228290333;2023-08-10;3228290333;BdKV6IE
;False;;Владимирская область;Владимир;ГАЗ;ГАЗель 3302;2023;140000;2;False;Серый;270000;2445;Бензин;100;4.0;;Фургон;2.4 MT (100 л.с.);2;Механика;Задний;Левый;https://www.avito.ru/vladimir/avtomobili/gaz_gazel_3302_2.4_mt_1998_140000km_3191601825;2023-08-10;3191601825;dNdEXHZ
;True;;Владимирская область;Владимир;ВАЗ (LADA);Vesta;2023;67036;1;True;Белый;1200000;1596;Бензин;106;4.0;7.5;Универсал;1.6 MT (106 л.с.);5;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_vesta_1.6_mt_2019_67036km_3371817875;2023-08-09;3371817875;pw7rBf4
;True;;Владимирская область;Владимир;ВАЗ (LADA);21099;2023;133778;3;False;Зелёный;180000;1499;Бензин;78;4.0;7.4;Седан;1.5 MT (78 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_21099_1.5_mt_2002_133778km_3143457859;2023-08-09;3143457859;ORewRuG
;True;;Владимирская область;Киржачский р-н;ВАЗ (LADA);2121 (4x4) Urban;2023;50500;2;True;Белый;725000;1690;Бензин;83;4.0;7.5;Внедорожник;1.7 MT (83 л.с.);3;Механика;Полный;Левый;https://www.avito.ru/kirzhach/avtomobili/vaz_lada_2121_4x4_urban_1.7_mt_2019_50500km_3145498633;2023-08-08;3145498633;BdQ7QUE
;True;;Владимирская область;Ковров;ВАЗ (LADA);Priora;2023;233000;3;False;Зелёный;255000;1596;Бензин;98;4.0;7.2;Седан;1.6 MT (98 л.с.);4;Механика;Передний;Левый;https://www.avito.ru/kovrov/avtomobili/vaz_lada_priora_1.6_mt_2009_233000km_2908431640;2023-08-09;2908431640;o2drKfx
;True;;Владимирская область;Владимир;ВАЗ (LADA);4x4 (Нива);2023;130000;4+;False;Зелёный;420000;1690;Бензин;80;4.0;1.0;Внедорожник;1.7 MT (80 л.с.);3;Механика;Полный;Левый;https://www.avito.ru/vladimir/avtomobili/vaz_lada_4x4_niva_1.7_mt_2010_130000km_3190798954;2023-08-09;3190798954;X0e3OTw
