city;region_code
03К-561;23
1-я Владимирская ул.;77
1-я ул. Леонова;77
38Н-343;46
46Н-02858;50
46Н-06022;50
46Н-13994;50
7-й микрорайон;15
9-я Парковая ул.;77
9-я Парковая улица;77
Абазинский р-н;9
Абинский р-н;23
Азовская ул.;77
Азовский р-н;61
Аксайский р-н;61
Алагир;15
Алатырь;21
Александровский муниципальный округ;26
Алексеевский г.о.;31
Алексеевский р-н;16
Алексин;71
Алтуфьевское ш.;77
Альметьевский р-н;16
Анапа;23
Аннинский р-н;36
Апанасенковский муниципальный округ;26
Апшеронский р-н;23
Аргун;95
Ардатовский р-н;13
Арзамас;52
Арзгирский муниципальный округ;26
Армавир;23
Арский р-н;16
Астрахань;30
Аткарский р-н;64
Ачхой-Мартановский р-н;95
Бабаюртовский р-н;5
Бабынинский р-н;40
Базарносызганский р-н;73
Баксан;7
Баксанский р-н;7
Балаковский р-н;64
Балашиха;50
Балашовский р-н;64
Барышский р-н;73
Батайск;61
Бежицкий район;32
Белгород;31
Белгородский р-н;31
Белоглинский р-н;23
Белокалитвинский р-н;61
Белореченск;23
Белореченский р-н;23
Белые берега;32
Беслан;15
Бибиревская ул.;77
Благодарненский г.о.;26
Бобровский р-н;36
Богатовский р-н;63
Богородицкий р-н;71
Богородский г.о.;50
Богучарский р-н;36
Большая Академическая ул.;77
Большая Черкизовская ул.;77
Большеберезниковский р-н;13
Большой Коптевский пр.;77
Бор;52
Борисоглебский г.о.;36
Боровский р-н;40
Борский р-н;63
Брасовский р-н;32
Бронницы;50
Брюховецкий р-н;23
Брянск;32
Бугуруслан;56
Будённовский муниципальный округ;26
Буйнакск;5
Буйнакский р-н;5
Буйнакский район;5
Бутурлиновский р-н;36
Варшавское ш.;77
Веерная ул.;77
Вейделевский р-н;31
Велижский р-н;67
Великий Новгород;53
Верхнехавский р-н;36
Весенняя улица;15
Вешкаймский р-н;73
Владикавказ;15
Владимир;33
Волгоград;34
Волгоградский пр-т;77
Волгодонск;61
Волжский;34
Волжский р-н;63
Воловский р-н;71
Вологда;35
Волоколамский г.о.;50
Волоконовский р-н;31
Вольский р-н;64
Воронеж;36
Воронцовская ул.;77
Воскресенск;50
Восточный административный округ;77
Вурнарский муниципальный округ;21
Выселковский р-н;23
Вяземский р-н;67
Вязма;67
Вятские Поляны;43
Гагаринский р-н;67
Галич;44
Геленджик;23
Георгиевский г.о.;26
Гиагинский р-н;1
Глушковский р-н;46
Городищенский р-н;34
Горшеченский р-н;46
Горячий Ключ;23
Грайворонский г.о.;31
Грозненский р-н;95
Грозный;95
Грязинский р-н;48
Гудермесский р-н;95
Гуково;61
Гулькевичский р-н;23
Дагестанские Огни;5
Даниловский район;34
Данковский р-н;48
Дербент;5
Дербентский р-н;5
Дербентский район;5
Десногорск;67
Джанкой;82
Джанкойская ул.;77
Дзержинск;52
Дзержинский р-н;40
Дзержинский район;34
Димитровград;73
Динской р-н;23
Дмитровский г.о.;50
Дмитровский городской округ;50
Добринский р-н;48
Долгопрудный;50
Домодедово;50
Донецк;61
Дубна;50
Дятьковский р-н;32
Егорьевск;50
