brand;model;car_year;mileage;body_type;price;link
ВАЗ (LADA);Kalina;2016;152000;Универсал;635000.0;https://www.avito.ru/lermontov/avtomobili/vaz_lada_kalina_2016_3282159273
ЗАЗ;968 Запорожец;1982;40000;Седан;120000.0;https://www.avito.ru/stavropol/avtomobili/zaz_968_zaporozhets_1982_2727509782
ГАЗ;Соболь 2217;2023;210;Микроавтобус;1660000.0;https://www.avito.ru/pyatigorsk/avtomobili/gaz_sobol_2217_2023_3108611629
ВАЗ (LADA);Granta;2018;173000;Седан;550000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2018_3087541089
ВАЗ (LADA);Kalina;2012;203300;Универсал;370000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_kalina_2012_3072517096
ВАЗ (LADA);Kalina;2009;245389;Хетчбэк;245000.0;https://www.avito.ru/mineralnye_vody/avtomobili/vaz_lada_kalina_2009_3088202437
ВАЗ (LADA);4x4 (Нива);2016;95800;Внедорожник;515000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_4x4_niva_2016_2666959714
ВАЗ (LADA);Granta;2021;39280;Седан;809000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_granta_2021_3008247568
ВАЗ (LADA);1111 Ока;2003;75000;Хетчбэк;89990.0;https://www.avito.ru/letnyaya_stavka/avtomobili/vaz_lada_1111_oka_2003_2484502238
ГАЗ;ГАЗель 2705;2008;425000;Фургон;675000.0;https://www.avito.ru/stavropol/avtomobili/gaz_gazel_2705_2008_3104498872
ГАЗ;ГАЗель Next;2014;200000;Фургон;1100000.0;https://www.avito.ru/stavropol/avtomobili/gaz_gazel_next_2014_3217806212
ВАЗ (LADA);Granta;2022;9150;Седан;915000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_granta_2022_3104626933
ВАЗ (LADA);Granta;2017;294000;Седан;358000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2017_2955193698
ВАЗ (LADA);Kalina;2010;250000;Седан;235000.0;https://www.avito.ru/stavropolskiy_kray_krasnogvardeyskoe/avtomobili/vaz_lada_kalina_2010_3027341969
ВАЗ (LADA);Vesta;2017;88504;Седан;825000.0;https://www.avito.ru/ipatovo/avtomobili/vaz_lada_vesta_2017_3120551730
ВАЗ (LADA);Granta;2020;175000;Седан;545000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2020_2929708369
ВАЗ (LADA);Kalina;2008;157343;Седан;315000.0;https://www.avito.ru/nevinnomyssk/avtomobili/vaz_lada_kalina_2008_3075798713
ВАЗ (LADA);Granta;2018;105000;Седан;599000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2018_2827688569
ВАЗ (LADA);2112;2005;200000;Хетчбэк;155000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2112_2005_3152295234
ВАЗ (LADA);2115 Samara;2011;180000;Седан;270000.0;https://www.avito.ru/kochubeevskoe/avtomobili/vaz_lada_2115_samara_2011_3155254058
ВАЗ (LADA);Priora;2017;145000;Седан;640000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_2017_2985360063
ВАЗ (LADA);Granta;2012;350000;Седан;280000.0;https://www.avito.ru/neftekumsk/avtomobili/vaz_lada_granta_2012_2689559702
ВАЗ (LADA);Granta;2022;12800;Седан;819000.0;https://www.avito.ru/georgievsk/avtomobili/vaz_lada_granta_2022_3136483612
УАЗ;Patriot;2012;282000;Внедорожник;435000.0;https://www.avito.ru/lermontov/avtomobili/uaz_patriot_2012_2614264712
ВАЗ (LADA);Priora;2016;133000;Седан;590000.0;https://www.avito.ru/mineralnye_vody/avtomobili/vaz_lada_priora_2016_3072539629
ВАЗ (LADA);Vesta Cross;2021;56000;Универсал;1550000.0;https://www.avito.ru/essentuki/avtomobili/vaz_lada_vesta_cross_2021_2728507706
ВАЗ (LADA);Granta;2017;147869;Седан;620000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_granta_2017_3164922855
ВАЗ (LADA);Priora;2007;265000;Седан;199000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_priora_2007_3048965154
ВАЗ (LADA);Largus Cross;2021;12000;Универсал;1500000.0;https://www.avito.ru/novopavlovsk/avtomobili/vaz_lada_largus_cross_2021_2202059929
ВАЗ (LADA);Vesta Cross;2021;34000;Седан;1440000.0;https://www.avito.ru/pyatigorsk/avtomobili/vaz_lada_vesta_cross_2021_2481460390
ВАЗ (LADA);Priora;2014;186000;Седан;600000.0;https://www.avito.ru/galyugaevskaya/avtomobili/vaz_lada_priora_2014_2887774034
ВАЗ (LADA);2114 Samara;2013;94000;Хетчбэк;650000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_2114_samara_2013_2873388755
ВАЗ (LADA);Granta;2015;146000;Седан;450000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_granta_2015_2979762667
ВАЗ (LADA);Vesta;2020;44000;Седан;1100000.0;https://www.avito.ru/stavropol/avtomobili/vaz_lada_vesta_2020_2286220474
ВАЗ (LADA);2109;1996;200000;Хетчбэк;200000.0;https://www.avito.ru/nevinnomyssk/avtomobili/vaz_lada_2109_1996_2524612312
